FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000324	4	4	0	3	4	4	22	3	4	2	0	0	4	4	0	4	0	3	2	2	2
OG0000326	9	6	2	4	5	6	10	4	5	3	1	1	4	4	1	4	1	0	2	1	2
OG0000327	6	7	0	5	1	6	5	5	6	13	0	0	5	6	0	5	0	2	2	2	2
OG0000328	4	4	2	2	4	4	1	2	4	4	2	2	2	4	2	3	17	1	3	4	3
OG0000329	4	5	4	6	5	4	4	4	4	2	2	3	4	4	3	4	1	6	4	4	4
OG0000330	0	1	4	8	1	1	5	5	1	1	13	12	5	1	11	5	0	5	6	5	6
OG0000331	2	2	9	10	2	2	14	9	2	1	1	1	9	2	1	3	1	4	2	2	2
OG0000332	3	4	4	2	5	4	4	4	4	3	3	4	4	4	4	4	1	9	4	4	4
OG0000334	1	3	3	7	1	2	10	6	2	3	4	5	6	3	5	5	0	8	5	5	5
OG0000335	5	5	3	3	5	5	8	3	5	5	4	4	5	5	4	5	1	1	4	1	3
OG0000336	9	5	0	1	11	7	1	1	7	3	3	3	1	4	3	3	1	3	3	3	3
OG0000337	0	1	9	6	3	1	10	7	2	2	4	3	7	2	4	4	1	4	4	4	4
OG0000338	4	4	3	6	4	4	4	4	4	6	3	3	4	4	3	4	0	1	3	1	3
OG0000339	4	2	1	1	6	3	3	1	3	2	1	1	2	2	1	2	1	1	1	1	1
OG0000342	0	0	10	11	2	0	12	10	1	0	2	2	10	1	2	3	0	7	3	3	3
OG0000346	3	3	5	5	3	3	8	5	3	3	3	3	5	3	3	4	2	8	4	4	4
OG0000347	1	3	5	1	4	3	9	4	3	1	2	3	4	3	3	4	9	2	4	4	4
OG0000350	3	5	4	4	5	5	3	4	5	5	4	3	4	5	4	4	2	3	4	3	4
OG0000353	10	6	4	3	3	6	1	3	4	4	1	2	3	4	2	3	1	5	3	3	3
OG0000355	4	4	4	6	4	4	9	5	4	4	1	1	5	4	1	4	1	1	2	1	2
OG0000356	4	4	3	4	4	4	6	4	4	2	2	4	4	4	4	4	5	3	4	4	4
OG0000357	2	13	1	5	5	4	1	3	4	3	2	3	3	3	3	3	0	3	3	3	3
OG0000359	4	4	3	4	4	4	4	4	4	4	3	3	4	4	3	4	2	5	4	4	4
OG0000360	2	3	9	7	3	3	5	7	3	2	3	3	5	3	3	3	1	3	3	3	3
OG0000362	4	4	1	1	7	4	12	1	5	5	3	3	4	5	3	4	1	2	3	2	3
OG0000363	2	4	6	4	4	4	5	5	4	2	4	4	5	4	4	4	3	6	4	4	4
OG0000366	4	4	4	6	4	4	2	4	4	3	3	2	4	4	3	4	2	5	4	4	4
OG0000367	2	2	7	6	2	2	5	6	2	1	3	3	5	2	3	3	3	4	3	3	3
OG0000368	3	4	4	5	4	4	5	4	4	3	3	5	4	4	4	4	1	1	4	1	3
OG0000369	3	3	5	4	4	3	5	4	3	3	4	4	4	3	4	4	2	5	4	4	4
OG0000370	9	1	0	3	0	1	2	2	1	0	1	0	2	1	1	2	19	0	2	3	2
OG0000371	3	4	3	2	5	4	6	3	4	4	2	2	4	4	2	4	1	6	4	4	4
OG0000373	3	2	6	4	3	3	3	4	3	3	2	3	3	3	3	3	5	5	3	5	4
OG0000374	4	3	4	3	4	4	5	4	4	4	4	4	4	4	4	4	3	4	4	4	4
OG0000378	4	3	2	2	5	4	10	2	4	4	2	3	4	4	3	4	0	1	3	1	3
OG0000379	0	1	5	3	2	1	4	3	1	0	1	1	3	1	1	2	3	15	2	4	3
OG0000380	3	4	4	4	3	3	7	4	3	2	3	4	4	3	4	4	4	3	4	4	4
OG0000382	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3
OG0000383	1	2	2	2	2	2	15	2	2	2	5	5	3	2	5	3	0	1	3	1	3
OG0000384	6	6	5	3	2	6	0	3	3	3	1	1	3	3	1	3	7	4	3	4	3
OG0000386	3	3	3	1	3	3	4	3	3	5	3	4	4	4	4	4	0	11	4	4	4
OG0000388	0	0	5	5	0	0	1	5	0	0	0	1	2	0	1	2	33	0	2	4	2
OG0000389	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	1	4	4	4	4
OG0000390	2	2	2	1	2	2	16	2	2	0	2	2	3	2	2	2	4	1	2	2	2
OG0000391	3	4	4	2	4	4	4	4	4	3	4	4	4	4	4	4	0	2	4	2	4
OG0000392	5	5	4	2	5	5	1	3	5	5	3	3	3	5	3	3	5	3	3	3	3
OG0000394	2	2	5	9	3	2	5	6	3	2	5	5	5	3	5	4	1	2	4	2	4
OG0000395	4	4	3	5	5	4	5	5	5	5	2	2	5	5	2	5	2	1	3	2	3
