Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000371	4	3	4	2	2	5	6	3	6	1	2	6
null	OG0000372	7	5	6	0	1	7	4	1	0	0	3	9
null	OG0000373	2	3	3	2	3	3	5	6	5	5	4	3
null	OG0000374	3	4	4	4	4	4	3	4	4	3	3	5
null	OG0000375	0	2	0	0	0	20	0	0	0	0	0	3
null	OG0000376	0	0	0	23	26	0	0	0	0	0	0	0
null	OG0000377	12	5	3	0	1	0	3	0	0	0	0	0
null	OG0000378	3	4	4	2	3	5	4	2	1	0	2	10
null	OG0000379	1	0	0	1	1	2	6	5	15	3	3	4
null	OG0000380	4	3	2	3	4	3	2	4	3	4	4	7
null	OG0000381	1	0	11	0	0	19	0	0	0	0	0	2
null	OG0000382	3	3	3	3	3	3	8	3	3	5	4	3
null	OG0000383	2	1	2	5	5	2	7	2	1	0	2	15
null	OG0000384	6	6	3	1	1	2	4	5	4	7	3	0
null	OG0000385	1	0	0	0	0	17	1	0	0	0	0	1
null	OG0000386	3	3	5	3	4	3	4	3	11	0	1	4
null	OG0000387	6	6	1	0	1	10	1	3	0	0	4	0
null	OG0000388	0	0	0	0	1	0	0	5	0	33	5	1
null	OG0000389	4	4	4	4	4	4	4	4	4	1	4	2
null	OG0000390	2	2	0	2	2	2	10	2	1	4	1	16
null	OG0000391	4	3	3	4	4	4	8	4	2	0	2	4
null	OG0000392	5	5	5	3	3	5	2	4	3	5	2	1
null	OG0000393	7	4	1	6	5	4	6	0	0	0	6	3
null	OG0000394	2	2	2	5	5	3	3	5	2	1	9	5
null	OG0000395	4	4	5	2	2	5	5	3	1	2	5	5
null	OG0000396	5	5	3	2	2	4	3	2	3	2	3	5
null	OG0000397	9	4	6	0	0	7	0	1	0	0	2	1
null	OG0000398	4	3	4	3	3	2	5	3	2	2	4	5
null	OG0000399	3	4	3	3	3	4	2	6	3	1	6	4
null	OG0000400	4	3	4	4	4	4	3	4	6	0	6	0
null	OG0000401	2	3	2	3	4	3	3	4	1	0	17	3
null	OG0000402	4	4	3	3	3	4	2	3	4	1	4	7
null	OG0000403	5	3	2	4	5	5	4	3	3	1	3	5
null	OG0000404	0	0	0	0	0	0	0	9	0	0	37	1
null	OG0000406	2	2	2	3	1	2	1	3	4	15	4	5
null	OG0000407	3	3	4	2	3	3	8	2	0	0	3	11
null	OG0000408	1	1	1	1	0	2	5	10	1	0	7	12
null	OG0000409	2	2	2	8	5	3	5	1	2	0	2	11
null	OG0000410	5	3	2	2	1	7	5	2	4	0	2	5
null	OG0000411	6	2	1	2	1	1	7	0	0	1	12	5
null	OG0000412	3	3	3	1	1	4	10	2	5	1	3	5
